Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Abacavir;ABACAVIR 20MG/ML 240ML USO ORALE;ZIAGEN*orale soluz flacone 240 ml 20 mg/ml;89,86;54,44;-;VIIV HEALTHCARE BV;034499020;AAB;
Abacavir;ABACAVIR 300MG 60 UNITA' USO ORALE;ABACAVIR*60 cpr riv 300 mg;235,86;142,91;-;MYLAN SpA;045354040;AAC;
Abacavir;ABACAVIR 300MG 60 UNITA' USO ORALE;ZIAGEN*60 cpr riv 300 mg;336,95;204,16;-;VIIV HEALTHCARE BV;034499018;AAC;
Abacavir/lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;ABACAVIR E LAMIVUDINA*30 cpr riv 600 mg + 300 mg;170,27;103,16;-;AUROBINDO PHARMA ITALIA Srl;044669012;AAD;
Abacavir/Lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;ABACAVIR E LAMIVUDINA*30 cpr riv 600 mg + 300 mg;60,00;36,36;-;SUN PHARMACEUTICAL IND.EU.B.V.;045348036;AAD;
Abacavir/lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;KIVEXA*30 cpr riv 600 mg + 300 mg;567,56;343,89;-;VIIV HEALTHCARE BV;036644019;AAD;
Abacavir/lamivudina/zidovudina;ABACAVIR+LAMIVUDINA+ZIDOVUDINA 300+150+300MG 60 UNITA' USO ORALE;ABACAVIR LAMIVUDINA ZIDOVUDINA*60x1 cpr riv 300 mg + 150 mg + 300 mg;593,43;359,57;-;MYLAN SpA;042645046;AAE;
Abacavir/lamivudina/zidovudina;ABACAVIR+LAMIVUDINA+ZIDOVUDINA 300+150+300MG 60 UNITA' USO ORALE;TRIZIVIR*60 cpr riv 300 mg + 150 mg + 300 mg;751,17;455,15;-;VIIV HEALTHCARE BV;034947046;AAE;
Abatacept;ABATACEPT 250MG 3 UNITA' USO PARENTERALE;ORENCIA*3 flaconcini EV 250 mg polv + 3 siringhe;1689,09;1023,44;-;BRISTOL M.SQUIBB PHARMA EEIG;037989035;AAF;
Abatacept;ABATACEPT 125MG 4 UNITA' USO PARENTERALE;ORENCIA*4 penne preriemp clickject SC 125 mg 1 ml;1519,29;920,55;-;BRISTOL M.SQUIBB PHARMA EEIG;037989112;AAM;
Abatacept;ABATACEPT 125MG 4 UNITA' USO PARENTERALE;ORENCIA*4 siringhe SC 125 mg 1 ml;1519,29;920,55;-;BRISTOL M.SQUIBB PHARMA EEIG;037989086;AAM;
Abemaciclib;ABEMACICLIB 100MG 28 UNITA' USO ORALE;VERZENIOS*28 cpr riv 100 mg;3127,08;1894,74;-;ELI LILLY NEDERLAND BV;047091121;KRK;
Abemaciclib;ABEMACICLIB 150MG 28 UNITA' USO ORALE;VERZENIOS*28 cpr riv 150 mg;3127,08;1894,74;-;ELI LILLY NEDERLAND BV;047091145;KRL;
Abemaciclib;ABEMACICLIB 50MG 28 UNITA' USO ORALE;VERZENIOS*28 cpr riv 50 mg;3127,08;1894,74;-;ELI LILLY NEDERLAND BV;047091107;KRM;
Abiraterone;ABIRATERONE 250MG 120 UNITA' USO ORALE;ABIRATERONE*120 cpr 250 mg flacone;3251,47;1970,11;-;MEDAC GMBH;049297017;AAH;
Abiraterone;ABIRATERONE 250MG 120 UNITA' USO ORALE;ABIRATERONE*120 cpr 250 mg flacone;3056,50;1851,98;-;ACCORD HEALTHCARE SLU;049479013;AAH;
Abiraterone;ABIRATERONE 250MG 120 UNITA' USO ORALE;ABIRATERONE*120 cpr riv 250 mg flacone;3251,47;1970,11;-;SANDOZ SpA;048401133;AAH;
Abiraterone;ABIRATERONE 250MG 120 UNITA' USO ORALE;ZYTIGA*120 cpr 250 mg flacone;5734,49;3474,63;-;JANSSEN CILAG INTERNAT.N.V.;041427016;AAH;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*14x4 cpr riv 500 mg;2852,73;1728,51;-;QILU PHARMA SPAIN S.L.;050048038;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56 cpr riv 500 mg;3034,70;1838,77;-;SANDOZ SpA;048401261;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56 cpr riv 500 mg;3034,70;1838,77;-;MEDAC GMBH;049297029;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56 cpr riv 500 mg;2852,73;1728,51;-;ARISTO PHARMA GMBH;049298021;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56 cpr riv 500 mg;2852,73;1728,51;-;MYLAN IRELAND LIMITED;049686052;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56 cpr riv 500 mg;3034,70;1838,77;-;ZENTIVA ITALIA Srl;049755010;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56 cpr riv 500 mg;2852,73;1728,51;-;SUN PHARMACEUTICAL IND.EU.B.V.;050293012;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56x1 compresse 500 mg divisibile per dose unitaria;3034,70;1838,77;-;EG SpA;049475344;KII;
