Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Prezzo al pubblico �,Titolare AIC,AIC,Codice Gruppo Equivalenza,X=in lista di trasparenza Aifa 15/10/2024,Solo in lista di Regione:,Metri cubi ossigeno
Acamprosato,ACAMPROSATO 333MG 84 UNITA' USO ORALE,CAMPRAL*84 cpr riv gastrores 333 mg,"33,77",BRUNO FARMACEUTICI SpA,34208013,H0A,,,
Acarbosio,ACARBOSIO 100MG 40 UNITA' USO ORALE,GLUCOBAY*40 cpr 100 mg,"8,04",BAYER SpA,26851016,H1A,X,,
Acarbosio,ACARBOSIO 100MG 40 UNITA' USO ORALE,ACARPHAGE*40 cpr 100 mg,"5,63",BRUNO FARMACEUTICI SpA,38835144,H1A,X,,
Acarbosio,ACARBOSIO 100MG 40 UNITA' USO ORALE,ACARBOSIO*40 cpr 100 mg,"5,63",TECNIMEDE SOC.TECNICO-MED.S.A.,39716182,H1A,X,,
Acarbosio,ACARBOSIO 100MG 40 UNITA' USO ORALE,ACARBOSIO*40 cpr 100 mg,"5,63",DOC GENERICI Srl,44155024,H1A,X,,
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,GLUCOBAY*40 cpr 50 mg,"8,04",BAYER SpA,26851028,H1B,X,,
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,ACARPHAGE*40 cpr 50 mg,"5,63",BRUNO FARMACEUTICI SpA,38835043,H1B,X,,
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,ACARBOSIO*40 cpr 50 mg,"5,63",TECNIMEDE SOC.TECNICO-MED.S.A.,39716170,H1B,X,,
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,ACARBOSIO*40 cpr 50 mg,"5,63",DOC GENERICI Srl,44155012,H1B,X,,
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,GLUCOBAY*40 cpr 50 mg,"7,49",GMM FARMA Srl,45430016,H1B,X,,
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,GLUCOBAY*40 cpr 50 mg,"7,49",FARMA 1000 Srl,45461011,H1B,X,,
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,ACARBOSIO*40 cpr 50 mg,"5,63",AUROBINDO PHARMA ITALIA Srl,47612027,H1B,X,,
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,GLUCOBAY*40 cpr 50 mg,"7,49",NEW PHARMASHOP Srl,47923014,H1B,X,,
Acebutololo,ACEBUTOLOLO 400MG 30 UNITA' USO ORALE,SECTRAL*30 cpr 400 mg,"10,71",CHEPLAPHARM ARZNEIMITTEL GMBH,24155057,B4A,,,
Aceclofenac,ACECLOFENAC 100MG 30 UNITA' USO ORALE,GLADIO*orale polv 30 bust 100 mg,"7,91",ABIOGEN PHARMA SpA,31220027,B5A,X,,
Aceclofenac,ACECLOFENAC 100MG 30 UNITA' USO ORALE,KAFENAC*orale sosp polv 30 bust 100 mg,"7,69",ALMIRALL S.A.,31842026,B5A,X,,
