Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza,ATC,URL,PDF URL,4.1 Indicazioni terapeutiche,4.2 Posologia e modo di somministrazione,4.3 Controindicazioni,4.4 Avvertenze speciali e precauzioni di impiego,4.5 Interazioni con altri medicinali ed altre forme di interazione,"4.6 Fertilità, gravidanza e allattamento",4.7 Effetti sulla capacità di guidare veicoli e sull’uso di macchinari,4.8 Effetti indesiderati,4.9 Sovradosaggio,6.2 Incompatibilità
Acamprosato,ACAMPROSATO 333MG 84 UNITA' USO ORALE,CAMPRAL*84 cpr riv gastrores 333 mg,BRUNO FARMACEUTICI SpA,34208013,H0A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acarbosio,ACARBOSIO 100MG 40 UNITA' USO ORALE,GLUCOBAY*40 cpr 100 mg,BAYER SpA,26851016,H1A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acarbosio,ACARBOSIO 100MG 40 UNITA' USO ORALE,ACARPHAGE*40 cpr 100 mg,BRUNO FARMACEUTICI SpA,38835144,H1A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acarbosio,ACARBOSIO 100MG 40 UNITA' USO ORALE,ACARBOSIO*40 cpr 100 mg,TECNIMEDE SOC.TECNICO-MED.S.A.,39716182,H1A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acarbosio,ACARBOSIO 100MG 40 UNITA' USO ORALE,ACARBOSIO*40 cpr 100 mg,DOC GENERICI Srl,44155024,H1A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,GLUCOBAY*40 cpr 50 mg,BAYER SpA,26851028,H1B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,ACARPHAGE*40 cpr 50 mg,BRUNO FARMACEUTICI SpA,38835043,H1B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,ACARBOSIO*40 cpr 50 mg,TECNIMEDE SOC.TECNICO-MED.S.A.,39716170,H1B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,ACARBOSIO*40 cpr 50 mg,DOC GENERICI Srl,44155012,H1B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,GLUCOBAY*40 cpr 50 mg,GMM FARMA Srl,45430016,H1B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,GLUCOBAY*40 cpr 50 mg,FARMA 1000 Srl,45461011,H1B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,ACARBOSIO*40 cpr 50 mg,AUROBINDO PHARMA ITALIA Srl,47612027,H1B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acarbosio,ACARBOSIO 50MG 40 UNITA' USO ORALE,GLUCOBAY*40 cpr 50 mg,NEW PHARMASHOP Srl,47923014,H1B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acebutololo,ACEBUTOLOLO 400MG 30 UNITA' USO ORALE,SECTRAL*30 cpr 400 mg,CHEPLAPHARM ARZNEIMITTEL GMBH,24155057,B4A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aceclofenac,ACECLOFENAC 100MG 30 UNITA' USO ORALE,GLADIO*orale polv 30 bust 100 mg,ABIOGEN PHARMA SpA,31220027,B5A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aceclofenac,ACECLOFENAC 100MG 30 UNITA' USO ORALE,KAFENAC*orale sosp polv 30 bust 100 mg,ALMIRALL S.A.,31842026,B5A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aceclofenac,ACECLOFENAC 100MG 30 UNITA' USO ORALE,AIRTAL*orale sosp polv 30 bust 100 mg,ALMIRALL S.A.,32773032,B5A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aceclofenac,ACECLOFENAC 100MG 40 UNITA' USO ORALE,GLADIO*40 cpr riv 100 mg,ABIOGEN PHARMA SpA,31220015,B5B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aceclofenac,ACECLOFENAC 100MG 40 UNITA' USO ORALE,KAFENAC*40 cpr riv 100 mg,ALMIRALL S.A.,31842014,B5B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aceclofenac,ACECLOFENAC 100MG 40 UNITA' USO ORALE,AIRTAL*40 cpr riv 100 mg,ALMIRALL S.A.,32773020,B5B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aceclofenac,ACECLOFENAC 100MG 40 UNITA' USO ORALE,ACECLOFENAC*40 cpr riv 100 mg,ACCORD HEALTHCARE SLU,42403042,B5B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aceclofenac,ACECLOFENAC 100MG 40 UNITA' USO ORALE,ACECLOFENAC*40 cpr riv 100 mg,EG SpA,43259035,B5B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acenocumarolo,ACENOCUMAROLO 1MG 20 UNITA' USO ORALE,SINTROM*20 cpr 1 mg,MERUS LABS LUXCO II SARL,11782024,H2A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acenocumarolo,ACENOCUMAROLO 4MG 20 UNITA' USO ORALE,SINTROM*20 cpr 4 mg,MERUS LABS LUXCO II SARL,11782012,H2B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acetazolamide,ACETAZOLAMIDE 250MG 12 UNITA' USO ORALE,DIAMOX*12 cpr 250 mg,TEOFARMA Srl,9277017,H3A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ZOVIRAX*FORTE orale sosp 100 ml 8% flacone,GLAXOSMITHKLINE SpA,25298086,26A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
